"brand","screensize_category","screen_technology","energy_consumption_kWh/year","star_rating"
"HISENSE","55""","LCD (LED)",378,4.5
"Kogan","43""","LCD (LED)",188,5.5
"BAUHN","65""","LCD",345,6
"HISENSE","70""","LCD (LED)",422,6
"kogan","65""","LCD (LED)",348,6
"Concentric Care","24""","LCD (LED)",110,3.5
"JVC","55""","LCD (LED)",270,6
"kogan","42""","LCD (LED)",155,6
"kogan","82""","LCD (LED)",733,4.5
"EKO","55""","LCD (LED)",370,4.5
"Caixun","24""","LCD (LED)",68,6
"kogan","55""","LCD (LED)",441,3.5
"HISENSE","50""","LCD (LED)",284,5
"PHILIPS","32""","LCD (LED)",146,4.5
"Sony","32""","LCD (LED)",109,5.5
"Linsar","65""","LCD",360,6
"EKO","58""","LCD (LED)",298,6
"BLAUPUNKT","50""","LCD (LED)",315,4.5
"EKO","55""","LCD (LED)",260,6
"EKO","75""","LCD (LED)",760,4
"BLAUPUNKT","55""","LCD (LED)",330,5
"PHILIPS","70""","LCD",516,5
"PHILIPS","43""","LCD (LED)",206,5
"PHILIPS","55""","OLED",654,2
"Hitachi","75""","LCD",485,6
"BAUHN","50""","LCD",220,6
"PHILIPS","65""","LCD",813,2.5
"PHILIPS","75""","LCD",478,6
"KOGAN","75""","LCD (LED)",475,6
"KOGAN","70""","LCD (LED)",660,4
"kogan","70""","LCD (LED)",532,5
"Caixun","32""","LCD (LED)",119,5
"KOGAN","65""","LCD (LED)",520,4.5
"SONIQ","42""","LCD (LED)",193,5
"HYUNDAI","75""","LCD (LED)",750,4
"TEAC","75""","LCD (LED)",750,4
"KOGAN","55""","LCD (LED)",260,6
"DEVANTi","50""","LCD (LED)",276,5
"LG","32""","LCD (LED)",114,5.5
"LG","43""","LCD (LED)",180,5.5
"kogan","65""","LCD (LED)",536,4
"Sony","55""","LCD (LED)",475,3.5
"Sony","65""","LCD (LED)",543,4
"BLAUPUNKT","70""","LCD (LED)",640,4
"KOGAN","50""","LCD (LED)",290,4.5
"AIWA","65""","LCD (LED)",499,4.5
"BAUHN","55""","LCD (LED)",267,6
"Viano","24""","LCD (LED)",76,5.5
"Viano","50""","LCD (LED)",352,4
"BLAUPUNKT","61""","LCD (LED)",405,5
"LG","50""","LCD (LED)",331,4
"BLAUPUNKT","58""","LCD (LED)",468,4
"LG","50""","LCD (LED)",331,4
"LG","50""","LCD (LED)",295,4.5
"LG","55""","LCD (LED)",346,4.5
"LG","55""","LCD (LED)",346,4.5
"EKO","75""","LCD (LED)",720,4
"LG","55""","LCD (LED)",415,4
"LG","55""","LCD (LED)",357,4.5
"LG","55""","LCD (LED)",357,4.5
"LG","65""","LCD (LED)",433,5
"LG","65""","LCD (LED)",433,5
"LG","75""","LCD (LED)",503,5.5
"LG","75""","LCD (LED)",503,5.5
"LG","75""","LCD (LED)",616,4.5
"LG","75""","LCD (LED)",616,4.5
"LG","86""","LCD (LED)",937,4
"LG","86""","LCD (LED)",937,4
"LG","55""","OLED",389,4
"LG","55""","OLED",400,4
"LG","55""","OLED",400,4
"LG","65""","OLED",459,5
"LG","65""","OLED",477,4.5
"LG","65""","OLED",477,4.5
"LG","77""","OLED",638,5
"LG","77""","OLED",638,5
"LG","65""","LCD (LED)",572,4
"LG","65""","LCD (LED)",572,4
"LG","75""","LCD (LED)",539,5.5
"LG","75""","LCD (LED)",539,5.5
"AIWA","55""","LCD",320,5
"PHILIPS","70""","LCD (LED)",528,5
"PHILIPS","75""","LCD (LED)",587,5
"THOMSON","43""","LCD (LED)",149,6
"KOGAN","25""","LCD",100,4
"PHILIPS","86""","LCD (LED)",882,4.5
"PHILIPS","65""","LCD (LED)",464,5
"PHILIPS","55""","LCD (LED)",370,4.5
"LG","86""","LCD (LED)",937,4
"LG","86""","LCD (LED)",937,4
"LG","86""","LCD (LED)",915,4
"LG","86""","LCD (LED)",915,4
"LG","55""","OLED",408,4
"LG","55""","OLED",408,4
"LG","65""","OLED",481,4.5
"LG","65""","OLED",481,4.5
"LG","43""","LCD (LED)",280,3.5
"LG","43""","LCD (LED)",280,3.5
"LG","50""","LCD (LED)",287,4.5
"LG","50""","LCD (LED)",287,4.5
"LG","65""","LCD (LED)",448,5
"LG","65""","LCD (LED)",448,5
"LG","70""","LCD (LED)",565,4.5
"LG","75""","LCD (LED)",605,5
"LG","43""","LCD (LED)",287,3.5
"LG","50""","LCD (LED)",342,4
"LG","55""","LCD (LED)",422,4
"LG","65""","LCD (LED)",1054,1
"LG","65""","LCD (LED)",528,4
"LG","75""","LCD (LED)",732,4
"LG","75""","LCD (LED)",732,4
"LG","75""","LCD (LED)",619,4.5
"LG","82""","LCD (LED)",773,4.5
"LG","48""","OLED",327,4
"LG","48""","OLED",327,4
"ELITELUX","58""","LCD (LED)",343,5
"JVC","58""","LCD (LED)",357,5
"LG","86""","LCD (LED)",915,4
"LG","86""","LCD (LED)",915,4
"LG","77""","OLED",619,5
"LG","77""","OLED",619,5
"LG","50""","LCD (LED)",269,5
"LG","50""","LCD (LED)",269,5
"LG","55""","LCD (LED)",335,5
"LG","55""","LCD (LED)",335,5
"LG","65""","LCD (LED)",404,5.5
"LG","65""","LCD (LED)",404,5.5
"LG","65""","LCD (LED)",707,3
"LG","65""","LCD (LED)",707,3
"KOGAN","50""","LCD (LED)",260,5
"LG","75""","LCD (LED)",619,4.5
"LG","43""","LCD (LED)",287,3.5
"LG","50""","LCD (LED)",342,4
"LG","55""","LCD (LED)",411,4
"LG","55""","LCD (LED)",411,4
"LG","55""","LCD (LED)",422,4
"LG","65""","LCD (LED)",528,4
"LG","75""","LCD (LED)",1174,2
"Kogan","24""","LCD (LED)",77,5
"TEAC","32""","LCD",127,5
"BAUHN","24""","LCD (LED)",67,6
"PHILIPS","65""","LCD (LED)",399,5.5
"PHILIPS","50""","LCD (LED)",262,5
"PHILIPS","65""","LCD (LED)",379,5.5
"PHILIPS","50""","LCD (LED)",266,5
"Samsung","85""","LCD (LED)",645,5.5
"Samsung","43""","LCD (LED)",255,4
"Samsung","65""","LCD (LED)",558,4
"PHILIPS","58""","LCD (LED)",322,5.5
"PHILIPS","55""","LCD (LED)",319,5
"LG","65""","LCD (LED)",528,4
"LG","65""","LCD (LED)",528,4
"LG","65""","LCD (LED)",528,4
"LG","65""","LCD (LED)",532,4
"LG","70""","LCD (LED)",590,4.5
"LG","75""","LCD (LED)",667,4.5
"LG","75""","LCD (LED)",667,4.5
"LG","75""","LCD (LED)",627,4.5
"LG","43""","LCD (LED)",291,3.5
"LG","43""","LCD (LED)",291,3.5
"LG","43""","LCD (LED)",291,3.5
"LG","50""","LCD (LED)",331,4
"LG","55""","LCD (LED)",411,4
"Sony","43""","LCD (LED)",243,4
"TECO","19""","LCD (LED)",75,4
"TECO","19""","LCD (LED)",75,4
"TECO","24""","LCD (LED)",70,5.5
"TECO","32""","LCD (LED)",140,4.5
"Samsung","50""","LCD (LED)",291,4.5
"Samsung","55""","LCD (LED)",565,2.5
"Samsung","65""","LCD (LED)",565,4
"SONIQ","50""","LCD",311,4.5
"Samsung","43""","LCD (LED)",339,3
"Samsung","50""","LCD (LED)",353,4
"Samsung","55""","LCD (LED)",503,3
"Samsung","75""","LCD (LED)",686,4
"TECO","22""","LCD (LED)",76,4.5
"Samsung","85""","LCD (LED)",806,4.5
"Samsung","50""","LCD (LED)",339,4
"Samsung","55""","LCD (LED)",412,4
"SONIQ","58""","LCD",337,5
"SONIQ","66""","LCD",391,6
"PHILIPS","32""","LCD (LED)",114,5.5
"PHILIPS","43""","LCD (LED)",170,6
"PHILIPS","43""","LCD (LED)",226,4.5
"PHILIPS","43""","LCD",234,4.5
"LG","55""","OLED",342,4.5
"LG","55""","OLED",342,4.5
"LG","65""","OLED",433,5
"LG","65""","OLED",433,5
"LG","65""","OLED",565,4
"LG","77""","OLED",995,3
"LG","88""","OLED",1170,3
"AKAI","55""","LCD (LED)",267,6
"kogan","50""","LCD",313,4.5
"Sony","75""","LCD (LED)",717,4
"JVC","58""","LCD",468,4
"LG","86""","LCD (LED)",1660,1.5
"HISENSE","75""","LCD (LED)",1060,2.5
"AIWA","40""","LCD (LED)",148,6
"AIWA","50""","LCD (LED)",265,5
"AIWA","32""","LCD (LED)",104,6
"EKO","58""","LCD (LED)",357,5
"KOGAN","58""","LCD (LED)",336,5.5
"Samsung","85""","LCD (LED)",729,5
