"brand","count"
"AIWA",28
"AKAI",34
"AOA",5
"Altius",5
"Avel Innovations",3
"BAUHN",62
"BLAUPUNKT",93
"Blaupunkt",12
"Brooklyn",1
"CAIXUN",3
"CHiQ",45
"COOCAA",1
"Caixun",10
"Concentric Care",1
"DEVANTI",1
"DEVANTi",2
"DGTEC",8
"Dynalink",1
"EKO",169
"ELITELUX",1
"EMETE",5
"ENGLAON",18
"FFALCON",26
"FURRION",4
"Gorilla",2
"HISENSE",119
"HYUNDAI",13
"Hitachi",1
"Hubbl",1
"Hubbl Glass",2
"ILUMA",2
"JVC",76
"KOGAN",82
"KONKA",4
"Kodak",5
"Kogan",68
"LG",644
"LOEWE",17
"LSP TV",1
"Linsar",45
"METZ",5
"MYVI",3
"Monster",4
"PHILIPS",99
"PRISM+",8
"Palsonic",1
"Polaroid",14
"Q.Bell",2
"QBELL",8
"RCA",1
"S VISION",1
"SHARP",10
"SKYWORTH",14
"SMARTTECH",3
"SMTV",3
"SONIQ",7
"SVISION",6
"SYLVOX",4
"Samsung",431
"ShareTV",1
"Shenzhen Xinchaoda Technology Co., Ltd",4
"Signify",1
"Skyworth",2
"Smarttech",2
"Sony",97
"Sphere",5
"Stan Cash",1
"Sylvox",13
"TAVICE",1
"TCL",93
"TEAC",10
"TECO",12
"TELEFUNKEN",5
"TENET",1
"THOMSON",3
"TOSHIBA",50
"VDT",1
"VEON",7
"Veon",1
"Viano",2
"WALTON",4
"Yokohama",1
"ZEN TV",3
"coocaa",5
"digitech",6
"kogan",50
"yokohama",2
